Agency Acronym,Agency Name
USDA,Department of Agriculture
DOC,Department of Commerce
DoD,Department of Defense
ED,Department of Education
DOE,Department of Energy
HHS,Department of Health and Human Services
DHS,Department of Homeland Security
HUD,Department of Housing and Urban Development
DOI,Department of the Interior
DOJ,Department of Justice
U.S. DOL,Department of Labor
State,Department of State
DOT,Department of Transportation
Treasury,Department of the Treasury
VA,Department of Veterans Affairs
ACUS,Administrative Conference of the United States
USAID,U.S. Agency for International Development
ABMC,American Battle Monuments Commission
NRPC,National Railroad Passenger Corporation (Amtrak)
AFRH,Armed Forces Retirement Home
BBG,Broadcasting Board of Governors
CIA,Central Intelligence Agency
CSB,Chemical Safety and Hazard Investigation Board
USCCR,U.S. Commission on Civil Rights
CPPBSD,Committee for Purchase from People Who Are Blind or &amp;#8230;
CFTC,Commodity Futures Trading Commission
CFPB,Consumer Financial Protection Bureau
U.S. CPSC,U.S. Consumer Product Safety Commission
CNCS,Corporation for National and Community Service
CIGIE,Council of Inspectors General on Integrity and Efficiency
CSOSA,Court Services and Offender Supervision Agency
DNFSB,Defense Nuclear Facilities Safety Board
EPA,Environmental Protection Agency
EEOC,Equal Employment Opportunity Commission
CEQ,Council on Environmental Quality
OMB,Office of Management and Budget
ONDCP,Office of National Drug Control Policy
OSTP,Office of Science and Technology Policy
USTR,Office of the United States Trade Representative
Ex-Im Bank,Export-Import Bank of the U.S.
FCA,Farm Credit Administration
FCSIC,Farm Credit System Insurance Corporation
FCC,Federal Communications Commission
FDIC,Federal Deposit Insurance Corporation
FEC,Federal Election Commission
FERC,Federal Energy Regulatory Commission
FFIEC,Federal Financial Institutions Council
FHFA,Federal Housing Finance Agency
FLRA,Federal Labor Relations Authority
FMC,Federal Maritime Commission
FMCS,Federal Mediation And Conciliation Service
FMSHRC,Federal Mine Safety and Health Review Commission
FOMC,Federal Open Market Committee
FRB,Board of Governors of the Federal Reserve System
FRTIB,Federal Retirement Thrift Investment Board
FTC,Federal Trade Commission
GSA,U.S. General Services Administration
IMLS,Institute of Museum and Library Services
IAF,Inter-American Foundation
LSC,Legal Services Corporation
MSPB,Merit Systems Protection Board
MCC,Millennium Challenge Corporation
NASA,National Aeronautics and Space Administration
NARA,National Archives and Records Administration
NCPC,National Capital Planning Commission
NCUA,National Credit Union Administration
NEA,National Endowment for the Arts
NEH,National Endowment for the Humanities
NIGC,National Indian Gaming Commision
NLRB,National Labor Relations Board
NMB,National Mediation Board
NSF,National Science Foundation
NTSB,National Transportation Safety Board
USNRC,U.S. Nuclear Regulatory Commission
OSHRC,Occupational Safety and Health Review Commission
OGE,Office of Government Ethics
ONHIR,Office of Navajo and Hopi Indian Relocation
OPM,Office of Personnel Management
OSC,Office of Special Counsel
ODNI,Office of the Director of National Intelligence
OPIC,Overseas Private Investment Corporation
PC,Peace Corps
PBGC,Pension Benefit Guaranty Corporation
PRC,Postal Regulatory Commission
PCLOB,Privacy and Civil Liberties Oversight Board
RATB,Recovery Accountability and Transparency Board
US RRB,Railroad Retirement Board
SEC,U.S. Securities and Exchange Commission
SSS,Selective Service System
SBA,U.S. Small Business Administration
SSA,Social Security Administration
SIGAR,Special Inspector General for Afghanistan Reconstruction
SIGIR,Special Inspector General for Iraq Reconstruction
STB,Surface Transportation Board
TVA,Tennessee Valley Authority
USAB,U.S. Access Board
US ADF,U.S. African Development Foundation
CO,U.S. Copyright Office
USIBWC,U.S. International Boundary and Water Commission
USITC,U.S. International Trade Commission
USPS,U.S. Postal Service
USTDA, United States Trade and Development Agency
